"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize","corrected_nationality"
"NULL","James Black (pharmacologist)","{Lasker-DeBakey Clinical Medical Research Award|Nobel Prize in Physiology or Medicine|Royal Medal|Artois-Baillet Latour Foundation}","1924-06-14","1924-01-01T00:00:00+02:00","{Lanarkshire|Uddingston}","2010-03-22","London","British people","United Kingdom","NULL","University of St Andrews","Pharmacology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson}","Nobel Prize in Physiology or Medicine","NULL"
"Antony Hewish","Antony Hewish","{Eddington Medal|Nobel Prize in Physics}","1924-05-11","1924-01-01T00:00:00+02:00","{Cornwall|Fowey}","NULL","NULL","NULL","NULL","NULL","{Gonville and Caius College Cambridge|King's College Taunton|Cavendish Laboratory}","Radio astronomy","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LivingPeople|Acquirer109764201|AlumniOfGonvilleAndCaiusCollegeCambridge|Alumnus109786338|Associate109816771|Astronomer109818343|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Presenter110466387|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishAstronomers|FellowsOfChurchillCollegeCambridge|FellowsOfGonvilleAndCaiusCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|PresentersOfTheRoyalInstitutionChristmasLectures|NobelLaureatesInPhysics|PeopleEducatedAtKing'sCollegeTaunton|PeopleFromFowey|PeopleFromTaunton|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Robert Solow","{John Bates Clark Medal|National Medal of Science|Nobel Memorial Prize in Economic Sciences}","1924-08-23","1924-01-01T00:00:00+02:00","{New York City|Brooklyn}","NULL","NULL","NULL","United States","NULL","Harvard University","Macroeconomics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GrowthEconomists|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanEconomists|AmericanNobelLaureates|CausalAgent100007347|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInEconomics|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"NULL","Georges Charpak","Nobel Prize in Physics","{1924-03-08|1924-08-01}","1924-01-01T00:00:00+02:00","{Poland|Dubrovytsia|Ukraine}","2010-09-29","Paris","NULL","France","NULL","NULL","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Lyc%C3%A9eSaint-LouisAlumni|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Survivor110681194|Traveler109629752|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|DachauConcentrationCampSurvivors|FrenchNobelLaureates|FrenchPeopleOfPolishDescent|FrenchPhysicists|Migrant110314952|PhysicalEntity100001930|NobelLaureatesInPhysics|PolishEmigrantsToFrance|PolishNobelLaureates|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Jimmy Carter","{Order of the Crown (Belgium)|Nobel Peace Prize}","1924-10-01","1924-01-01T00:00:00+02:00","Plains Georgia","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{agent|office holder|person|owl#Thing|Person|PresidentsOfTheUnitedStates|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Politician|PresidentOfOrganization|Georgia(U.S.State)StateSenators|GeorgiaSouthwesternStateUniversityAlumni|GovernorsOfGeorgia(U.S.State)|Lawgiver110249270|LivingPeople|MaleOffspring110285938|Officeholder110371450|Owner110389398|UnionCollege(NewYork)Alumni|UnitedStatesNavalAcademyAlumni|UnitedStatesNavyOfficers|WritersFromGeorgia(U.S.State)|Acquirer109764201|Alumnus109786338|AmericanDemocracyActivists|AmericanDiplomats|AmericanFarmers|AmericanHumanitarians|AmericanNobelLaureates|AmericanNovelists|AmericanPeopleOfEnglishDescent|AmericanPoliticalWriters|Benefactor109608709|Bluejacket109861395|CausalAgent100007347|Child109918248|Communicator109610660|Creator109614315|Diplomat110013927|Disputant109615465|Farmer110078806|GoodPerson110138767|Governor110140314|HeadOfState110164747|Holder110180178|Honoree110183757|Humanitarian110191613|Intellectual109621545|Laureate110249011|Leader109623038|Legislator110253995|LivingThing100004258|Male109624168|Militant110315837|MilitaryOfficer110317007|Negotiator110351874|Novelist110363573|Object100002684|Official110372373|Offspring110373998|Organism100004475|Person100007846|Politician110451263|President110467179|Recipient109627906|Reformer110515194|Relative110235549|Representative110522035|Scholar110557854|Senator110578471|Serviceman110582746|SkilledWorker110605985|Son110624074|StateSenator110650076|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|ColdWarLeaders|DemocraticPartyPresidentsOfTheUnitedStates|DemocraticPartyStateGovernorsOfTheUnitedStates|PhysicalEntity100001930|SonsOfTheAmericanRevolution|Submariner110669357|Submariners|NobelPeacePrizeLaureates|PeopleFromSumterCountyGeorgia|PeopleOfTheSovietWarInAfghanistan|YagoLegalActor}","Nobel Peace Prize","NULL"
"NULL","Allan McLeod Cormack","Nobel Prize in Physiology or Medicine","1924-02-23","1924-01-01T00:00:00+02:00","{Johannesburg|South Africa}","1998-05-07","{Massachusetts|United States}","NULL","NULL","NULL","NULL","Physicist","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|WhiteSouthAfricanPeople|Acquirer109764201|AlumniOfRondeboschBoys'HighSchool|AlumniOfStJohn'sCollegeCambridge|Alumnus109786338|AmericanNobelLaureates|AmericanPeopleOfScottishDescent|Biophysicist109856267|Biophysicists|CausalAgent100007347|Citizen109923673|Creator109614315|Emigrant110051975|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Migrant110314952|National109625401|PhysicalEntity100001930|SouthAfricanEmigrantsToTheUnitedStates|SouthAfricanInventors|SouthAfricanNobelLaureates|SouthAfricanPeopleOfScottishDescent|SouthAfricanPhysicists|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromJohannesburg|PeopleFromWinchesterMassachusetts|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Willard Boyle","{Nobel Prize in Physics|Charles Stark Draper Prize|IEEE Morris N. Liebmann Memorial Award}","1924-08-19","1924-01-01T00:00:00+02:00","{Nova Scotia|Amherst Nova Scotia|Canada}","2011-05-07","{Nova Scotia|Wallace Nova Scotia|Canada}","{Canada|United States}","NULL","NULL","{Lower Canada College|McGill University}","Applied physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|McGillUniversityAlumni|Acquirer109764201|Alumnus109786338|CanadianNobelLaureates|CanadianPhysicists|CausalAgent100007347|Friend110112591|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|Companion109945905|CompanionsOfTheOrderOfCanada|PhysicalEntity100001930|ScientistsAtBellLabs|NobelLaureatesInPhysics|PeopleFromCumberlandCountyNovaScotia|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Paul Greengard","{Nobel Prize in Physiology or Medicine|NAS Award in the Neurosciences}","1925-12-11","1925-01-01T00:00:00+02:00","New York City","NULL","NULL","NULL","United States","NULL","NULL","Neuroscience","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HamiltonCollege(NewYork)Alumni|JohnsHopkinsUniversityAlumni|LivingPeople|Academician109759069|AcademicsOfTheUniversityOfCambridge|Acquirer109764201|Adult109605289|Alumnus109786338|AmericanNeuroscientists|AmericanNobelLaureates|Biologist109855630|CausalAgent100007347|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|CognitiveNeuroscientist109934488|CognitiveNeuroscientists|CognitiveScientist109934647|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Simon van der Meer","Nobel Prize in Physics","1925-11-24","1925-01-01T00:00:00+02:00","{Netherlands|The Hague}","2011-03-04","{Geneva|Switzerland}","NULL","Netherlands","NULL","Delft University of Technology","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|AcceleratorPhysicists|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchNobelLaureates|DutchPhysicists|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromTheHague|YagoLegalActor}","Nobel Prize in Physics","NULL"
"John David Linsley","John Linsley","Nobel Prize in Physics","1925-03-12","NULL","{Minnesota|Minneapolis}","2002-09-25","{New Mexico|Albuquerque New Mexico}","NULL","United States","NULL","University of Minnesota","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson}","Nobel Prize in Physics","NULL"
"NULL","Joshua Lederberg","{Presidential Medal of Freedom|Nobel Prize in Physiology or Medicine|National Medal of Science}","1925-05-23","1925-01-01T00:00:00+02:00","Montclair New Jersey","2008-02-02","{New York City|NewYork–Presbyterian Hospital}","NULL","United States","NULL","{Columbia University|Stuyvesant High School|Yale University}","Microbiologist","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishAmericanScientists|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanGeneticists|AmericanNobelLaureates|ArtificialIntelligenceResearchers|Associate109816771|Biologist109855630|CausalAgent100007347|Colleague109935990|Communicator109610660|Geneticist110126424|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|President110467179|Recipient109627906|Representative110522035|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|Worker109632518|YagoLegalActorGeo|ColumbiaUniversityAlumni|FellowsOfTheAssociationForComputingMachinery|PhysicalEntity100001930|PresidentsOfRockefellerUniversity|StuyvesantHighSchoolAlumni|NobelLaureatesInPhysiologyOrMedicine|PeopleFromMontclairNewJersey|PeopleFromWashingtonHeightsManhattan|PhageWorkers|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Baruch Samuel Blumberg","Nobel Prize in Physiology or Medicine","1925-07-28","1925-01-01T00:00:00+02:00","{Brooklyn|New York}","2011-04-05","{California|Mountain View California}","NULL","NULL","NULL","{Union College|Balliol College Oxford|Columbia University College of Physicians and Surgeons}","{Biochemistry|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAmericanScientists|JewishInventors|MastersOfBalliolCollegeOxford|UnionCollege(NewYork)Alumni|Acquirer109764201|Adult109605289|AlumniOfBalliolCollegeOxford|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicians|Artist109812338|Associate109816771|CausalAgent100007347|Colleague109935990|Creator109614315|Doctor110020890|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Maestro110280130|Object100002684|Organism100004475|Peer109626238|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaMedicalSchoolAlumni|ColumbiaUniversityAlumni|FarRockawayHighSchoolAlumni|FellowsOfTheAmericanAcademyOfArtsAndSciences|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBrooklyn|PeopleFromFarRockawayQueens|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Oliver Smithies","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine}","1925-06-23","1925-01-01T00:00:00+02:00","Halifax West Yorkshire","NULL","NULL","NULL","NULL","NULL","{University of Oxford|Balliol College Oxford}","{Biochemistry|Genetics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Absentee109757653|Acquirer109764201|AmericanNobelLaureates|Biologist109855630|BritishBiologists|BritishExpatriatesInTheUnitedStates|BritishNobelLaureates|CausalAgent100007347|Exile110071332|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromHalifaxWestYorkshire|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"Robert Geoffrey Edwards","Robert Edwards (physiologist)","Nobel Prize in Physiology or Medicine","1925-09-27","1925-01-01T00:00:00+02:00","Batley","2013-04-10","NULL","United Kingdom","United Kingdom","NULL","{Bangor University|University of Edinburgh}","{Physiology|Reproductive medicine}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Leo Esaki","{Stuart Ballantine Medal|Nobel Prize in Physics|IEEE Medal of Honor}","1925-03-12","1925-01-01T00:00:00+02:00","Osaka","NULL","NULL","NULL","Japan","NULL","NULL","Applied physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|IBMFellows|JapanPrizeLaureates|JapaneseNobelLaureates|JapanesePhysicists|LivingPeople|Acquirer109764201|Associate109816771|CausalAgent100007347|Colleague109935990|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SemiconductorPhysicists|NobelLaureatesInPhysics|PeopleFromOsaka|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Martin Rodbell","{Nobel Prize in Physiology or Medicine|Gairdner Foundation International Award|Richard Lounsbery Award}","1925-12-01","1925-01-01T00:00:00+02:00","{Maryland|United States|Baltimore}","1998-12-07","{Chapel Hill North Carolina|United States}","NULL","United States","NULL","{Johns Hopkins University|University of Washington}","Biochemist","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishAmericanScientists|JohnsHopkinsUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanBiochemists|AmericanNobelLaureates|BaltimoreCityCollegeAlumni|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBaltimoreMaryland|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","John Pople","Nobel Prize in Chemistry","1925-10-31","1925-01-01T00:00:00+02:00","{England|Burnham-on-Sea|Somerset}","2004-03-15","{Chicago|Illinois|United States}","NULL","United Kingdom","NULL","University of Cambridge","{Computational chemistry|Quantum chemistry|Theoretical chemistry}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|TheoreticalChemists|Absentee109757653|Acquirer109764201|AlumniOfTrinityCollegeCambridge|Alumnus109786338|AmericanNobelLaureates|Associate109816771|BritishChemists|BritishExpatriatesInTheUnitedStates|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Emigrant110051975|Exile110071332|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|EnglishEmigrantsToTheUnitedStates|FellowsOfTheRoyalSociety|Migrant110314952|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleEducatedAtBristolGrammarSchool|PeopleFromBurnham-on-Sea|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Kim Dae-jung","Nobel Peace Prize","1925-12-03","1925-01-01T00:00:00+02:00","{South Korea|South Jeolla Province|Sinan County South Jeolla|Korea under Japanese rule|Hauido}","2009-08-18","{South Korea|Seoul}","NULL","NULL","NULL","NULL","NULL","{agent|person|politician|president|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Politician|PresidentOfOrganization|HonoraryFellowsOfClareHallCambridge|KidnappedPoliticians|KidnappedSouthKoreanPeople|Acquirer109764201|Associate109816771|AttemptedAssassinationSurvivors|CausalAgent100007347|Colleague109935990|Communicator109610660|Convert109962414|Disputant109615465|HeadOfState110164747|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|Militant110315837|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|Politician110451263|President110467179|Recipient109627906|Reformer110515194|Representative110522035|Survivor110681194|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|ConvertsToRomanCatholicism|DemocraticParty(SouthKorea2005)Politicians|FellowsOfClareHallCambridge|PhysicalEntity100001930|PresidentsOfSouthKorea|SouthKoreanDemocracyActivists|SouthKoreanNobelLaureates|NobelPeacePrizeLaureates|PeopleFromSouthJeollaProvince|YagoLegalActor}","Nobel Peace Prize","NULL"
"NULL","Irwin Rose","Nobel Prize in Chemistry","1926-07-16","1926-01-01T00:00:00+02:00","Brooklyn","NULL","NULL","NULL","NULL","NULL","University of Chicago","Biology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Acquirer109764201|AmericanBiologists|AmericanNobelLaureates|Biologist109855630|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromSpokaneWashington|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Paul Berg","{Nobel Prize in Chemistry|National Medal of Science}","1926-06-30","1926-01-01T00:00:00+02:00","{Brooklyn|New York}","NULL","NULL","NULL","United States","NULL","{Case Western Reserve University|Pennsylvania State University}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|AIDSResearchers|JewishAmericanScientists|LivingPeople|AbrahamLincolnHighSchool(BrooklynNewYork)Alumni|Acquirer109764201|Alumnus109786338|AmericanBiochemists|AmericanNobelLaureates|Associate109816771|Biochemist109854915|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|NobelLaureatesInChemistry|PennsylvaniaStateUniversityAlumni|PeopleFromBrooklyn|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"Donald Arthur Glaser","Donald A. Glaser","{Nobel Prize in Physics|Elliott Cresson Medal}","1926-09-21","1926-01-01T00:00:00+02:00","{Cleveland|United States}","2013-02-28","{Berkeley California|United States}","NULL","NULL","NULL","{California Institute of Technology|Case School of Engineering}","{Molecular biology|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAmericanScientists|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanNeuroscientists|AmericanNobelLaureates|AmericanPeopleOfRussian-JewishDescent|Biologist109855630|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|CaseWesternReserveUniversityAlumni|ExperimentalPhysicists|PhysicalEntity100001930|Neurobiologist110353928|Neuroscientists|NobelLaureatesInPhysics|PeopleFromClevelandOhio|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Tsung-Dao Lee","{Albert Einstein Award|Nobel Prize in Physics}","1926-11-24","1926-01-01T00:00:00+02:00","{China|Shanghai|Republic of China (1912–49)}","NULL","NULL","United States","NULL","NULL","{University of Chicago|National Southwestern Associated University|Zhejiang University}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LivingPeople|TheoreticalPhysicists|ZhejiangUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicists|BrookhavenNationalLaboratoryNobelLaureates|CausalAgent100007347|Citizen109923673|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|ChineseEmigrantsToTheUnitedStates|ChinesePhysicists|EthnicChineseNobelLaureates|Migrant110314952|National109625401|PhysicalEntity100001930|ShanghaiNobelLaureates|NankaiUniversityAlumni|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Henry Way Kendall","Nobel Prize in Physics","1926-12-09","1926-01-01T00:00:00+02:00","Boston","1999-02-15","{Florida|Edward Ball Wakulla Springs State Park}","NULL","United States","NULL","{Massachusetts Institute of Technology|Amherst College}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|UnderwaterDivers|UnderwaterPhotographers|UnitedStatesMerchantMarineAcademyAlumni|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmherstCollegeAlumni|Artist109812338|Associate109816771|CausalAgent100007347|Colleague109935990|Creator109614315|Diver110019552|Explorer110072708|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Photographer110426749|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DeerfieldAcademyAlumni|ExperimentalPhysicists|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"David Hunter Hubel","David H. Hubel","Nobel Prize in Physiology or Medicine","1926-02-27","1926-01-01T00:00:00+02:00","{Windsor Ontario|Canada}","2013-09-22","{Lincoln Massachusetts|Massachusetts|United States}","NULL","Canada","NULL","McGill University","Neurophysiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|McGillUniversityAlumni|Academician109759069|Acquirer109764201|Adult109605289|Alumnus109786338|AmericanNobelLaureates|Biologist109855630|CanadianExpatriateAcademicsInTheUnitedStates|CanadianNeuroscientists|CanadianNobelLaureates|CausalAgent100007347|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleFromWindsorOntario|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Ben Roy Mottelson","{Nobel Prize in Physics|Franklin Institute}","1926-07-09","1926-01-01T00:00:00+02:00","Chicago","NULL","NULL","NULL","Denmark","NULL","{Purdue University|Harvard University}","Nuclear physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanNuclearPhysicists|AmericanPhysicists|Associate109816771|CausalAgent100007347|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DanishNobelLaureates|DanishNuclearPhysicists|DanishPhysicists|FellowsOfBangladeshAcademyOfSciences|PhysicalEntity100001930|PurdueUniversityAlumni|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Masatoshi Koshiba","{Nobel Prize in Physics|Wolf Prize in Physics|Humboldt Prize}","1926-09-19","1926-01-01T00:00:00+02:00","{Japan|Aichi Prefecture|Toyohashi Aichi}","NULL","NULL","NULL","Japan","NULL","{University of Rochester|University of Tokyo}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JapaneseNobelLaureates|JapanesePhysicists|LivingPeople|Acquirer109764201|Associate109816771|CausalAgent100007347|Colleague109935990|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfBangladeshAcademyOfSciences|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromAichiPrefecture|YagoLegalActor}","Nobel Prize in Physics","NULL"
